field7,field8,error_code
REDIRECT,,E231      
AUCNEGATIVE,E-Commerce is not enabled for this card,E1625     
AUCNEGATIVE,01 | Card authentication failed,E317      
ACS_REDIRECT,,E1602     
AUCNEGATIVE,22 | UNKNOWN,E500      
EVPOSITIVE,,E231      
EVNEGATIVE,ERROR | Error - General system failure,E309      
ACS_REDIRECT,,E501      
3DS_VERIFICATION_NEGATIVE,Exceeds ACS maximum challenges,E708      
AUCNEGATIVE,87 | UNKNOWN,E500      
AUCNEGATIVE,901 | Card authentication failed,E335      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction timed out at ACS&mdash;other timeouts,E1633     
AUCNEGATIVE,INVALID_REQUEST|,E2100     
REDIRECT,Invalid card number (no such number),E1703     
3DS_METHOD_NEGATIVE,INVALID_REQUEST | Invalid credentials.,E501      
REDIRECT,?:waiting authentication,E231      
AUCNEGATIVE,Invalid Otp,E1602     
AUCNEGATIVE,,E231      
AUCNEGATIVE,11 | Suspected fraud,E324      
ALT_ID_PROV_ERROR,EA09|Invalid merchant ID configuration. Please reachout to PayU support team,EA09      
3DS_CHALLENGE_NEGATIVE,914 | Transaction timed out at the ACS,E202      
REDIRECT,51 | Insufficient funds/over credit limit / Not sufficient funds,E231      
EVPOSITIVE,,E503      
EVNEGATIVE,,E214      
REDIRECT,UNKNOWN_ERROR,E501      
AUCINVALID,,E1601     
ACS_REDIRECT,GW00201 | Transaction not found,E1206     
AUCERROR,00 | Authentication Request Successful,E214      
3DS_METHOD_NEGATIVE,3DS212 | ,E1642     
REDIRECT,UNKNOWN_ERROR,E502      
AUCNEGATIVE,N0 | Unable to authorize,E9240     
AUCNEGATIVE,0 | OTP Generated Successfully,451       
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction timed out at ACS&mdash;other timeouts,E202      
EVNEGATIVE,INVALID_REQUEST | Invalid credentials.,E202      
AUCNEGATIVE,909 | Security failure,E335      
3DS_CHALLENGE_POSITIVE,,E000      
AUCNEGATIVE,ACS Technical failure,E500      
EVERROR,10024 | Bad Expiry year passed!,E1101     
,,E1615     
Get_cryptogram_failure,Ibibo Code DC is not currently active on merchant,E4932     
,,E308      
EVERROR,15001 | Some parameters are missing. Please contact merchant ,E330      
REDIRECT,Issuer not available,E1703     
AUCNEGATIVE,Blc|202 | Blc|FAILURE::AUTHENTICATION_FAILED,E335      
3DS_CHALLENGE_POSITIVE,Marking transaction as dropped - CSW,E501      
3DS_METHOD_POSITIVE,,E308      
ACS_REDIRECT,0 | OTP Generated Successfully,E231      
ACS_REDIRECT,K | UNKNOWN,E231      
AUCNEGATIVE,901 | INVALID_TRANSACTION_TYPE,E207      
ACS_REDIRECT,Validation problem,E1703     
REDIRECT,SYSTEM ERROR,E1703     
