field7,field8,error_code
AUTHPOSITIVE,AUTHORIZED,E000      
AUTHNEGATIVE,T1 | Payment Gateway timed out,E000      
AUTHNEGATIVE,N7 | Customer selected negative file reason,E1632     
AUTHNEGATIVE,13006 | Issuer Insufficient Funds,E706      
AUTHNEGATIVE,05,E307      
AUTHPOSITIVE,00 | Function performed error-free,E000      
AUTHNEGATIVE,13007 | INVALID CVV2,E1703     
AUTHNEGATIVE,14 | Invalid card number (no such number),E1632     
AUTHNEGATIVE,5C | AUTHORIZATION_FAILED_BY_BANK | Decline - General decline of the card. No other information provided by the issuing bank.,E1903     
AUTHNEGATIVE,50716 | Transaction declined. 3D Secure authentication failed.,E1903     
AUTHNEGATIVE,82 | Policy (Mastercard use only),E1703     
AUTHNEGATIVE,61 | Activity amount limit exceeded,E909      
AUTHNEGATIVE,13 | Authorisation declined by bank,E715      
AUTHNEGATIVE,19 | Re-enter transaction,E345      
AUTHNEGATIVE,Authorise Failure : CA : Acquirer compliance,E1903     
AUTHNEGATIVE,CANCELED,E308      
AUTHNEGATIVE,03 | Invalid Merchant,E341      
AUTHNEGATIVE,,E1903     
AUTHNEGATIVE,15 | No such issuer,E1703     
AUTHNEGATIVE,"78 | ’Blocked, first used’—The transaction is from a new cardholder, and the card has not been properly unblocked.",E1625     
AUTHNEGATIVE,Blc|204 | Issuer Insufficient Funds|Issuer Insufficient Funds,E1703     
AUTHNEGATIVE,T5 | Check for New information before retry,E9248     
AUTHNEGATIVE,14 | Invalid account number (no such number),E1632     
AUTHNEGATIVE,30 | Format Error,E2102     
AUTHNEGATIVE,,E000      
AUTHERROR,,E214      
AUTHNEGATIVE,14 | Authorisation declined by bank,E1632     
AUTHNEGATIVE,3DS2008 | UNKNOWN,E500      
AUTHNEGATIVE,96 | System malfunction,E4158     
AUTHNEGATIVE,69 | Mobile number record not found / mis-match | Decline - General decline of the card. No other information provided by the issuing bank.,E9221     
AUTHNEGATIVE,54 | Expired card,E1703     
AUTHNEGATIVE,04 | Pick up card,E1703     
AUTHNEGATIVE,43 | Pickup card (stolen card),E310      
AUTHNEGATIVE,"N7 | Negative online CAM, dCVV, iCVV, CVV, or CAVV results or Offline",E1632     
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E909      
AUTHNEGATIVE,201 | DAGGDENIED | Your aggregator or acquirer is not allowing requested service from you at this point in time.,E1903     
AUTHNEGATIVE,10024 | Cryptogram should not be null or blank,E1101     
AUTHNEGATIVE,GW02016 | PaymentId Expired,E1903     
AUTHNEGATIVE,15065 | exceeded frequency,E1628     
AUTHPOSITIVE,NO_ERROR,E000      
AUTHNEGATIVE,CURL_CALL_FAILURE,E214      
AUTHNEGATIVE,CardVerificationFailed- Invalid card number / CVV / expiry date,E1903     
AUTHNEGATIVE,12001 | No checking account,E205      
AUTHNEGATIVE,12001 | DECLINED (Invalid CAVV),E205      
AUTHNEGATIVE,65 | Exceeds withdrawal frequency limit,E909      
AUTHNEGATIVE,FSS00003 | Only Debit Card Allowed,E1903     
AUTHNEGATIVE,SERVER_ERROR,E1903     
AUTHNEGATIVE,05 | Do not honor | Decline - General decline of the card. No other information provided by the issuing bank.,E307      
AUTHNEGATIVE,05 | Do not honor,E307      
AUTHNEGATIVE,15093 | violation,E1903     
AUTHNEGATIVE,51 | Retry the transaction later,E706      
AUTHNEGATIVE,51 | Insufficient funds,E706      
AUTHNEGATIVE,63 | Security violation | Decline - General decline of the card. No other information provided by the issuing bank.,E312      
AUTHNEGATIVE,61 | Exceeds withdrawal amount limits,E1703     
AUTHNEGATIVE,15061 | DECLINED (Exceeds withdrawal amount limit),E310      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E1703     
AUTHNEGATIVE,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded | Allowable number of PIN entry tries exceeded.,E909      
